Reference,Location,U-Pb (Ma)
5,Africa,2658
5,Africa,2627
5,Africa,2451
5,Africa,2641
5,Africa,1899
5,Africa,2802
5,Africa,2591
5,Africa,2633
5,Africa,660
5,Africa,1901
5,Africa,2546
5,Africa,1967
5,Africa,1934
5,Africa,2489
5,Africa,1794
5,Africa,1839
5,Africa,2536
5,Africa,1865
5,Africa,1882
5,Africa,2250
5,Africa,1740
5,Africa,1368
5,Africa,2535
5,Africa,2497
5,Africa,2102
5,Africa,2094
5,Africa,2373
5,Africa,2556
5,Africa,2089
5,Africa,1938
5,Africa,1801
5,Africa,2453
5,Africa,2562
5,Africa,2121
5,Africa,2108
5,Africa,2025
5,Africa,1765
5,Africa,2363
5,Africa,579
5,Africa,1932
5,Africa,2172
5,Africa,2273
5,Africa,2060
5,Africa,1876
5,Africa,1711
5,Africa,1902
5,Africa,1902
5,Africa,2246
5,Africa,1957
5,Africa,2055
5,Africa,2339
5,Africa,2025
5,Africa,2159
5,Africa,1977
5,Africa,2109
5,Africa,1840
5,Africa,950
5,Africa,2006
5,Africa,2081
5,Africa,2219
5,Africa,2060
5,Africa,2134
5,Africa,2022
5,Africa,1853
5,Africa,2072
5,Africa,697
5,Africa,2029
5,Africa,2077
5,Africa,2077
5,Africa,2184
5,Africa,2124
5,Africa,2115
5,Africa,2040
5,Africa,2180
5,Africa,2079
5,Africa,2163
5,Africa,2010
5,Africa,2072
5,Africa,2019
5,Africa,598
5,Africa,1920
5,Africa,2042
5,Africa,2035
5,Africa,1944
5,Africa,2085
5,Africa,2094
5,Africa,2021
5,Africa,2165
5,Africa,789
5,Africa,2145
5,Africa,2056
5,Africa,971
5,Africa,993
5,Africa,2043
5,Africa,2059
5,Africa,2071
5,Africa,974
5,Africa,2239
5,Africa,2060
5,Africa,2074
5,Africa,2011
5,Africa,800
5,Africa,2267
5,Africa,1006
5,Africa,2053
5,Africa,2036
5,Africa,2080
5,Africa,2088
5,Africa,2159
5,Africa,2085
5,Africa,841
5,Africa,2096
5,Africa,2016
5,Africa,2131
5,Africa,676
5,Africa,1028
5,Africa,2036
5,Africa,587
5,Africa,1823
5,Africa,2073
5,Africa,1031
5,Africa,1012
5,Africa,2145
5,Africa,2087
5,Africa,1050
5,Africa,1034
5,Africa,2152
5,Africa,614
5,Africa,615
5,Africa,2091
5,Africa,2013
5,Africa,628
5,Africa,1067
5,Africa,601
5,Africa,940
5,Africa,638
5,Africa,645
5,Africa,2058
5,Africa,1794
5,Africa,1046
5,Africa,1906
5,Africa,630
5,Africa,663
